orderbook_timestamp,book,bid,ask,spread
2024-07-18T02:22:07+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:08+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:10+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:11+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:13+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:14+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:16+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:17+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:18+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:20+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:22+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:23+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:24+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:26+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:27+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:28+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:30+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:31+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:33+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:34+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:35+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:37+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:38+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:40+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:41+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:42+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:44+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:45+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:47+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:48+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:50+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:51+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:52+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:54+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:55+00:00,usd_mxn,17.7,17.72,0.1128668171557538
2024-07-18T02:22:57+00:00,usd_mxn,17.7,17.72,0.1128668171557538
