user_id,deposit_count
0007cda84fafdcf42f96c4f4adb7f8ce,31
00430c0c1fae276c9713ab5f21167882,9
0044deeec43ded19b952125079eb1781,10
00482b9bed15a272730fcb590ffebddd,15
004eef55e164cde4b29b93bd64c6d468,14
00509e33150cba19d677c83ad03febae,12
0055a5709f2388ee34e6a39c4719fccb,12
005b00cc243fb4f39296fa0f16a21482,32
005f441a9cc1899a77591ccf67fd8cf7,24
00650747d878eecae4d468a880de38b2,67
00693ceec3aa42db186efa62ed8917d2,8
007202387c4274c570d9cb72943fc873,9
007944deaf33ef8d449782f61a5bc216,13
007ff380ee5ac49ffc34442f5c2a2b86,8
00865d413600d26adb36d2f55973559f,24
00989c20ff1386dc386d8124ebcba1a5,9
009b43fb969ff1c89f0a919d33b70ecf,19
00b682284a10bdccd33c429ec31f4bec,8
00e9de08dddfe2521abb83e8fbc041c4,12
0139266877771d61f301725cd29cdb86,12
013c17ae3d8adf097f5ddd872096b8fe,12
013e7eede60069b472064b3e9a46455f,8
01428ca0e4ed4f5091cf04954e271412,12
01471e17e05d411f3a4095c8f12c5e22,19
01632f7b7a127233fa1188bd6c2e42e1,12
01671d8272924e3d10bce2c73066e933,40
016dda407fff9ed48128da45058b0366,6
0174a6d48b2b6c3d8c1928c759583f40,19
0178653660403a821a543d63efe814ba,13
018d1e28a4150d094512e29dac1497e9,13
018d335e8cc3c437150a76fa6f052a44,8
018dbfb5fec8d864714ede49cef50343,8
018e3f082dfe6a493db5351abcaac5b8,12
0197fcd95060131d9bc5e564f842ed53,1217
01991b6bec4ceacaf9fd8748b7fa0698,13
019c4f590ec38a225750ba4a6d3dd3bb,19
01a416a7e28d0d2293e95ef842b9e773,13
01cb0cfa4ce10d2c3af203bc2bf8cc32,6
01e7219dab30cef10e299f3b57eb01ca,13
01f8343e378b1ae8d0b66c992e7f7563,29
020e3e36116fa2175efc76885d034450,8
020ea2e7e3f2cec1ca4af57682211297,8
021de1d3005e39b3eab3f7591231696b,12
0226aa5193c66d9906300c6cf2bc45df,6
022deef5f842e7b026e57398f3964a7d,8
0272139a5b83cf5bbe88f311c2796670,6
0283ed0eee6998607137643223c4e475,6
028bc2ada185ef84c7c64afa42793352,6
02b1be0d48924c327124732726097157,6
02d35f682ff59f1acc13065dec46fe25,12
02d72b702eed900577b953ef7a9c1182,15
02f657d55eaf1c4840ce8d66fcdaf90c,3106
0300481b1e495e3c919b5214dda7b26c,12
030e65da2b1c944090548d36b244b28d,15
0322b0ce982b6f52251120354553b363,6
033522d9bdf796d13c4b594cbdf03184,8
03492e99e42e7ea8480cdfb4899604f5,9
03563342055be6220e63583085516728,6
03573b32b2746e6e8ca98b9123f2249b,10
03710901f9d12f609ce37724a57987fc,8
03731c9f1594352ccea95aae83fb690f,13
03793ef7d06ffd63d34ade9d091f1ced,9
0394ea68951e3299bcdfa75a097d7c11,17
0396df57e78b6d04b6854dd682e27b3c,9
039c7319b67bb87c9b7f62111caf65d1,8
03abb22f98c1ba728355443630f4a4e5,6
03b35ee38d9816798f3144061053bff4,6
03bc8e45ce4903b86f933ebb1fedbc44,8
03dadd644cb5856e1bb2c75dda01a4f0,8
03e4d3f831100d4355663f3d425d716b,9
03fbe3c1e895d92e60a544f6cba85914,8
03fcd68e5673f08be96d2b6bb5be8261,8
0406576f71bdf8cdb29942cd5c1548c7,6
040ca38cefb1d9226d79c05dd25469cb,9
0424d20160a6a558e5bf86a7bc9b67f0,13
04458ea7b0026a1fac9b420ebeb2efa0,8
0447abe5b3fbb484f70517e8a1091b4e,19
04600eed1bd16e8fe259baa0a436ed02,9
0465a1824942fac19824528343613213,10
0477b724bf16e35f2ccefc68351afca4,9
0485a94b93e179f4e3280500d9a19696,8
04940fadf3702cbd84b7a48161037c4f,20
04a818cf87d55fb0a8728940e04faff5,9
04bfb969d86db78edfa332363b59f79a,6
04c7f37f2420f0532d7f0e062ff2d5b5,14
04dfa78991b5140d09df3164008cd690,12
04f19115dfa286fb61ab634a2717ed37,9
05016d42450d2a5aa62105cd48dc8ce3,8
050718f543c7b2b6159a2f150fa6e93e,12
050cb9ed012553ba17b834300d37e4d6,6
052760bd8e212726717fe6d070748880,8
053dccd2601742e2936ae968bbf315a9,19
05751401fb782aa43ddf0bc31c121b7b,8
0589dd536fd043ff3865f8223fef3030,15
0599212ac5b4670c30619bac376c189c,6
05a99c00b975ff15c51fe48e9fac2f2a,12
05c09437e3f4568b28e8fa7e2d64cc48,10
05d157c6e2277aee356e685257ac5783,19
05f03bcccda955d1689b36046a6db899,8
0608bbe8fc09e0880e7d866d513c7c53,19
060d6e6b635a8b27ff90e4ef041c2ae9,8
0634ac7160d3fd64ddf19bdcbdd401bb,6
063b7d7ae9cd5ea74e1f879c52a91917,8
06563f3b418fe57f8fc331872343ce44,267
0677c70d21ee1ffd2ec01560ce0914cb,13
0680e1f35026262317cb7cec207e04c5,7
0693df4aa5de496ff23d0ae36e50c276,13
06956e10db83a3243154d65e297620d1,13
069853553a93eb5096a7edfb603b4607,8
06b21cad18b0960f8f72a5800c5ce811,12
06cae2e6ba2b864254009a7112bf5449,7
06f867ad5a8dd38502b33ec03d5abc47,13
07193c44ba3be8df1f67e96110c2006e,13
0722ba570f1e381a4cf86360ad7d2000,6
07273dd0571b92c3ee6817638418f839,6
072e81e77edf6f7370bc290b32c9bb81,19
073582c03820e7ea767821c6ee3293eb,13
0738069b244a1c43c83112b735140a16,7
073f5b456a1406f710aaf3cbcb0016b6,13
0740bb92e583cd2b88ec7c59f985cb41,8
0743832ad29f3a3ee0f01243aabbc3b8,13
0758c9937b88cc03bd27f67e38a0ed6f,13
077c7fb8fcf33cec814d0bde680aa041,12
078a070b015ee414f228d88194551206,8
0799cdd71a95f187414344493100eb2b,6
07a46b1a155a3c07e34ded2c3ef8f8f3,8
07a9d3fed4c5ea6b17e80258dee231fa,10
07b1c04a30f798b5506c1ec5acfb9031,9
07b1e246e902a97f8d4ed5f0408fa838,12
07b4498a303789d2829445c725dae35a,12
07b6b142463f773e941206c21967edb1,8
07dd4d5a72f5740ef0f035f201951476,7
07dfc1ba2a5e4395d243d0a619619f5b,12
07e99f116b916656b3fd4f7dd58a3cbe,8
07fc15c9d169ee48573edd749d25945d,13
081d5e994ab762a68f8c0546a8968b00,8
08316e289e75a729907d3dcd4f4d30b2,6
083e81455b9ce29d158420b35214c4df,12
0858ecab3720056a86bf0a2675d73c49,8
085dfc68338d1ed37766086a1aee1934,561
